nr_rejestr	marka	rok_prod	firma_id
ST O68AY	Opel Astra	2009	KO7
PZ 16896	Opel Astra	2008	FA3
STA 69798	Opel Astra	2009	FA4
SK 761XF	Opel Vivaro	2011	FA4
STY M52XG	Opel Corsa	2011	ME9
WND Y32DP	Ford Transit	2009	ME9
SRS 754PX	Ford Focus	2008	RE5
WD L668S	Ford Focus	2011	WE8
PRA Z67OX	Ford Fusion	2009	ME9
SG 3581R	Ford Transit	2009	FE6
PO 76464	Ford Fusion	2008	FA3
SK T6068	Ford Transit	2010	KO7
SPS 690HD	Opel Astra	2010	ME9
DW 7323W	Ford Transit	2008	RE5
WD H7245	Ford Fusion	2008	FA3
PZ PK128	Ford Transit	2007	PE2
DB 8757A	Ford Fusion	2010	RE5
ST 16836	Ford Focus	2009	KO7
DB 3457K	Ford Fiesta	2007	LU1
WD O62FG	Opel Corsa	2009	WE8
PO 34574	Ford Fusion	2008	ME9
WND Q5644	Ford Fusion	2012	WE8
SK 34572	Ford Fiesta	2007	FA4
SWD 34568	Ford Fusion	2009	KO7
WND RD345	Ford Transit	2008	RE5
PO 27102	Ford Fusion	2009	LU1
DB L678W	Opel Corsa	2009	WE8
SG 16904	Ford Fusion	2007	PE2
PZL 16852	Opel Astra	2008	FA4
SK R79LM	Ford Fiesta	2009	FA4
ST 16892	Ford Fusion	2010	FA4
WF RM754	Ford Transit	2007	FA4
WF 57577	Ford Fiesta	2012	LU1
SGL F7185	Ford Fiesta	2009	FA4
DB 7579M	Opel Corsa	2012	PE2
POB 80908	Opel Vivaro	2009	FE6
DB P5889	Ford Fusion	2009	LU1
PO 34576	Opel Vivaro	2009	FA3
SK 1246F	Ford Transit	2011	ME9
SO 16832	Ford Fiesta	2008	FA4
WF S23TN	Ford Focus	2009	FA3
ST 4356G	Opel Astra	2011	KO7
PZ 16792	Ford Fiesta	2008	PE2
WND 4111S	Opel Astra	2009	FA3
DB N91XS	Ford Fusion	2008	RE5
PO 87574	Ford Focus	2007	FA3
SCZ Q6245	Opel Corsa	2009	FA4
ST 26294	Ford Transit	2009	LU1
PO 1690B	Ford Transit	2009	ME9
SW RJ349	Ford Transit	2009	WE8
SI 16886	Ford Fiesta	2007	FA3
WD P5884	Ford Fusion	2008	FE6
PO 3561B	Ford Focus	2012	FA4
SK 64243	Opel Astra	2011	RE5
SH 16830	Ford Transit	2009	KO7
SH SA138	Opel Astra	2012	KO7
DW 34332	Opel Corsa	2010	PE2
PZ L74SB	Opel Corsa	2010	WE8
WF 16784	Ford Transit	2007	FA4
PZ Z99ZO	Opel Astra	2009	LU1
PO N574Z	Opel Astra	2010	RE5
PZ 3571C	Opel Corsa	2009	FE6
SRC RF346	Ford Transit	2009	KO7
WF 5490N	Opel Astra	2009	FA4
ST V7207	Opel Corsa	2008	WE8
WND C6326	Ford Focus	2010	PE2
WF 8512R	Ford Transit	2009	LU1
WF 14UV3	Ford Fiesta	2009	FA3
WD 24678	Ford Fusion	2012	FA3
WND R6726	Opel Astra	2009	WE8
WND 56KC	Ford Transit	2008	PE2
WF 24072	Ford Transit	2009	PE2
SG RK350	Ford Focus	2009	KO7
PO 65354	Ford Focus	2011	PE2
ST 3851Q	Opel Vivaro	2007	PE2
SK 6579W	Ford Transit	2010	KO7
WB 3921Q	Ford Fusion	2011	FA4
WD R78KN	Opel Vivaro	2012	ME9
WD 24274	Ford Transit	2008	RE5
SK 26092	Ford Fiesta	2008	LU1
WF C5685	Opel Corsa	2009	KO7
SG 3931S	Ford Transit	2011	WE8
WF 25082	Ford Transit	2009	RE5
SCI 892NR	Opel Corsa	2008	FE6
SG 7356J	Opel Astra	2011	KO7
ST RL351	Ford Focus	2009	PE2
WD A38DW	Opel Corsa	2011	PE2
DW 28718	Ford Transit	2012	ME9
SG S5667	Ford Transit	2008	RE5
WND 34570	Ford Transit	2009	FA4
WZY 1245S	Ford Fiesta	2012	FE6
WF P48WY	Opel Corsa	2011	KO7
WND 3344T	Ford Fusion	2009	LU1
SK G7127	Ford Focus	2009	FA4
PO 60910	Ford Transit	2008	FE6
SH 7501V	Ford Focus	2009	PE2
