id	data	nr_rejestr	usluga_id
324	2012-04-17	ST O68AY	22
325	2012-04-18	SK G7127	27
326	2012-04-18	PZ PK128	27
327	2012-04-19	PO 76464	27
328	2012-04-19	DB 6091A	27
329	2012-04-20	SG 3581R	27
330	2012-04-20	SB 23815	27
331	2012-04-23	PO 34574	18
332	2012-04-23	WND 3344T	1
333	2012-04-24	SK 8556V	1
334	2012-04-24	SG S5667	18
335	2012-04-25	WF 8512R	26
336	2012-04-25	ST 26294	27
337	2012-04-26	WI W1236	18
338	2012-04-26	WND C6326	18
339	2012-04-27	WF C5685	18
340	2012-04-27	PPL O586	18
341	2012-04-30	SH 59799	18
342	2012-04-30	ST 16892	18
343	2012-05-01	WND Q5644	18
344	2012-05-01	WD W5706	18
345	2012-05-02	SH 28112	18
346	2012-05-02	WD O62FG	18
347	2012-05-03	WND 3941D	18
348	2012-05-03	WND Y32DP	18
349	2012-05-04	WF W2234	18
350	2012-05-04	WND R6726	18
351	2012-05-07	PO 65354	18
352	2012-05-07	SMY 7895G	18
353	2012-05-08	SPS 690HD	3
354	2012-05-08	DB P5889	18
355	2012-05-09	DB N91XS	3
356	2012-05-09	WF 49800	3
357	2012-05-10	PP TE554	3
358	2012-05-10	POT 6468L	3
359	2012-05-11	PZ Z99ZO	3
360	2012-05-11	PZ 3901W	3
361	2012-05-14	PZ L74SB	26
362	2012-05-14	WND 34570	26
363	2012-05-15	SZO S12EM	26
364	2012-05-16	PO 34576	26
365	2012-05-17	WD N91XU	26
366	2012-05-17	DB 6535A	26
367	2012-05-18	PTU CD551	26
368	2012-05-18	POB 80908	26
369	2012-05-21	WD 24274	26
370	2012-05-21	SG 45356	26
371	2012-05-22	PO S706A	26
372	2012-05-22	PWR G38FY	26
373	2012-05-23	SK 865ED	26
374	2012-05-23	WND 5301J	26
375	2012-05-24	SK 557SX	26
376	2012-05-24	ST 16838	26
377	2012-05-25	WF RM745	26
378	2012-05-25	DWR LL545	26
379	2012-05-28	SK 1246F	26
380	2012-05-28	WD 24678	26
381	2012-05-29	WF P48WY	26
382	2012-05-29	WND 5279H	26
383	2012-05-30	PO 60910	26
384	2012-05-30	DW S706S	26
385	2012-05-31	WD P5884	26
386	2012-05-31	DB E957H	26
387	2012-06-01	SMI 56466	7
388	2012-06-01	DB N574A	6
389	2012-06-04	PO 27102	8
390	2012-06-04	WD R78KN	6
391	2012-06-05	SK 55355	8
392	2012-06-05	DB 16902	7
393	2012-06-06	SK M54EB	7
394	2012-06-06	SG 86463	6
395	2012-06-07	WD A38DW	1
396	2012-06-07	SG RK350	8
397	2012-06-08	WD 6479M	7
398	2012-06-08	SK R79LM	7
399	2012-06-11	SCZ Q6245	27
400	2012-06-12	ST CS552	27
401	2012-06-12	PO 794MD	27
402	2012-06-13	SGL F7185	27
403	2012-06-13	PZ 16792	27
404	2012-06-14	PZL 16852	27
405	2012-06-14	WF RM754	27
406	2012-06-15	SM E93DN	27
407	2012-06-18	DB 3561K	27
408	2012-06-19	PZ LR356	27
409	2012-06-19	ST V7207	1
410	2012-06-19	SRC RF346	27
411	2012-06-20	WY N89WP	2
412	2012-06-22	WD H7245	3
413	2012-06-25	DW 34332	4
414	2012-06-25	WD 27708	5
415	2012-06-26	SRS 754PX	6
416	2012-06-27	SH 34566	7
417	2012-06-29	WF 14UV3	8
418	2012-07-02	WF 7893E	9
419	2012-07-02	SK 34572	10
420	2012-07-03	ST 3851Q	11
421	2012-07-03	SG LD355	12
422	2012-07-04	SK R79LM	14
423	2012-07-04	DW G40VV	13
424	2012-07-05	SZO S12EM	16
425	2012-07-05	SK 55355	15
426	2012-07-06	DB 8757A	17
427	2012-07-06	SK 64243	1
428	2012-07-09	DB 3457K	3
429	2012-07-09	SY E6309	2
430	2012-07-10	SPI 28920	5
431	2012-07-10	SM E93DN	4
432	2012-07-11	DB 6535A	6
433	2012-07-11	WD 27708	7
434	2012-07-12	SMI 56466	8
435	2012-07-13	PO 60910	10
436	2012-07-13	SK 16906	9
437	2012-07-16	DW 7323W	11
438	2012-07-16	DB P5889	12
439	2012-07-17	DB E957H	13
440	2012-07-17	WF 14UV3	14
441	2012-07-18	WND Q5644	16
442	2012-07-18	WF 8512R	15
443	2012-07-19	ST CS552	17
444	2012-07-23	DW 34332	1
445	2012-07-24	SGL F7185	2
446	2012-07-24	SK 7897N	3
447	2012-07-25	WD P5884	4
448	2012-07-27	SZY 3841A	5
449	2012-07-30	PZ 3891T	6
450	2012-07-30	SK 557SX	7
451	2012-07-31	SZ 77D14	9
452	2012-07-31	DB L678W	8
453	2012-08-01	WND 4111S	10
454	2012-08-01	SC 7545S	11
455	2012-08-02	ST LF354	12
456	2012-08-02	PO N574Z	13
457	2012-08-03	WF RM754	14
458	2012-08-06	WF RM745	15
459	2012-08-06	ST 16836	16
460	2012-08-07	WD H7245	2
461	2012-08-07	SI 16886	1
462	2012-08-07	SCZ Q6245	17
463	2012-08-07	PPL O586	3
464	2012-08-09	ST 24880	4
465	2012-08-10	WE 83130	5
466	2012-08-13	SH 34566	6
467	2012-08-13	WF N90SL	7
468	2012-08-14	SRB 23411	8
469	2012-08-15	PO 794MD	9
470	2012-08-15	PO 34574	10
471	2012-08-16	WND 56KC	12
472	2012-08-16	WF 25082	11
473	2012-08-17	WD D6848	14
474	2012-08-17	SG 3581R	13
475	2012-08-20	WD L668S	16
476	2012-08-20	SG 7356J	15
477	2012-08-21	SG 3931S	17
478	2012-08-23	SJ 7557F	1
479	2012-08-24	WD 24274	3
480	2012-08-24	SH 28112	2
481	2012-08-27	SH 59799	6
482	2012-08-27	SK G7127	8
483	2012-08-27	DW 54322	4
484	2012-08-27	ST V7207	5
485	2012-08-27	SZA 655CS	7
486	2012-08-30	SK 1246F	9
487	2012-08-30	WU 74242	10
488	2012-08-31	PZ L74SB	12
489	2012-08-31	SG 86463	11
490	2012-09-03	PO 34576	13
491	2012-09-03	SH 7501V	14
492	2012-09-04	SK 3871D	15
493	2012-09-05	WZY 1245S	16
494	2012-09-10	PO 3561B	17
495	2012-09-11	SD 3257G	17
496	2012-09-12	SPS 690HD	16
497	2012-09-14	SK 8556V	14
498	2012-09-14	SRS 754PX	15
499	2012-09-17	DB N91XS	13
500	2012-09-18	PO 1690B	12
501	2012-09-20	WND 5301J	11
502	2012-09-21	WND C6326	10
503	2012-09-21	SG 28314	9
504	2012-09-24	ST 3851Q	8
505	2012-09-24	WF 7893E	7
506	2012-09-25	WF 16784	6
507	2012-09-26	WF 5490N	5
508	2012-09-26	WN S98QG	4
509	2012-09-27	PO 3631H	2
510	2012-09-27	DB 7579M	13
511	2012-09-27	WND 5279H	3
512	2012-10-02	WF 24072	14
513	2012-10-03	SRC RF346	16
514	2012-10-03	PO E95RH	15
515	2012-10-04	PZ 3571C	17
516	2012-10-04	SCI 892NR	17
517	2012-10-05	SH F6286	16
518	2012-10-05	WD O62FG	15
519	2012-10-09	WD 24678	13
520	2012-10-09	POT 6468L	14
521	2012-10-10	PZ 16896	12
522	2012-10-15	SK 48689	15
523	2012-10-16	WND 34570	14
524	2012-10-16	SO 16832	13
525	2012-10-17	SK 34572	12
526	2012-10-19	WD 16900	10
527	2012-10-19	WND R6726	11
528	2012-10-25	SG O60RV	19
529	2012-10-25	WY N89WP	19
530	2012-10-25	SG S5667	19
532	2012-10-25	PO 3561B	19
533	2012-10-25	DW 7323W	19
534	2012-10-25	SK A44GU	19
535	2012-10-25	PO 3561B	23
537	2012-10-26	SK 16842	19
538	2012-10-26	PO 1690B	19
539	2012-10-29	PZ 6A682	19
540	2012-10-29	WF 8512R	19
541	2012-10-29	DB P5889	19
542	2012-10-29	PWR G38FY	19
543	2012-10-29	ST 16838	19
544	2012-10-29	SK R79LM	23
545	2012-10-29	PZ LR356	19
546	2012-10-29	WND RD345	19
547	2012-10-29	SY E6309	19
548	2012-10-29	SK 761XF	19
549	2012-10-29	POS 325JE	19
550	2012-10-29	SK R79LM	19
551	2012-10-29	PZ 3571C	19
552	2012-10-29	SK 6579W	19
553	2012-10-29	WF LG353	19
554	2012-10-29	WF 57577	19
555	2012-10-29	SK 6579W	23
556	2012-10-29	DB L678W	19
557	2012-10-29	PZ PK128	19
558	2012-10-29	PRA Z67OX	19
559	2012-10-29	PRA Z67OX	23
560	2012-10-29	SCI 892NR	19
561	2012-10-29	PO 34576	19
562	2012-10-29	ST 3851Q	19
563	2012-10-29	WF RM754	19
564	2012-10-30	SW RJ349	19
565	2012-10-30	PPL O586	19
566	2012-10-30	DWR LL545	19
568	2012-10-30	WD 6479M	19
569	2012-10-30	WND 4111S	19
570	2012-10-30	SG 7356J	19
571	2012-10-30	WE 83130	19
572	2012-10-30	WD L6789	19
573	2012-10-30	PPL O586	23
574	2012-10-30	WD W5706	19
575	2012-10-30	WF N90SL	19
576	2012-10-30	PO N574Z	19
577	2012-10-30	WD R78KN	19
578	2012-10-30	WND 56KC	19
579	2012-10-30	SG 3931S	19
580	2012-10-30	SMY 7895G	19
582	2012-10-30	WE 83130	23
583	2012-10-30	SK 64243	19
584	2012-10-31	ST 4356G	19
585	2012-10-31	WF L67AK	19
586	2012-10-31	WD 16894	19
588	2012-10-31	WND 5279H	19
589	2012-10-31	ST V7207	19
590	2012-10-31	DW 34332	19
592	2012-10-31	WD 27708	19
593	2012-10-31	SK 34572	19
594	2012-10-31	WD O62FG	19
595	2012-10-31	PZ 3901W	19
596	2012-10-31	SG 527LS	19
597	2012-10-31	WF RM745	19
598	2012-10-31	STY M52XG	19
599	2012-10-31	SK 48689	19
600	2012-10-31	SH 34566	19
601	2012-10-31	WND 34570	19
602	2012-11-02	POT 6468L	19
603	2012-11-02	PTU CD551	19
604	2012-11-02	DW 16794	23
605	2012-11-02	WND C6326	19
606	2012-11-02	WF 852YS	23
607	2012-11-02	SG 16904	19
608	2012-11-02	DW 16794	19
609	2012-11-02	PO 60910	23
610	2012-11-02	SG RK350	19
611	2012-11-02	PO 794MD	19
612	2012-11-02	WF 852YS	19
613	2012-11-02	STA 69798	19
614	2012-11-02	PZ 6367J	19
615	2012-11-02	SZ 77D14	19
616	2012-11-02	POT 6468L	23
617	2012-11-02	WF S23TN	19
618	2012-11-02	WL 16782	19
619	2012-11-02	PZL 16852	19
620	2012-11-02	SK 1246F	23
621	2012-11-02	PZ Z99ZO	19
622	2012-11-02	SRS 754PX	19
623	2012-11-02	ST RL351	19
624	2012-11-02	WF 14UV3	19
625	2012-11-02	SK 1246F	19
626	2012-11-02	PO 60910	19
627	2012-11-02	PZ Y30EJ	19
628	2012-11-02	SG 4101U	19
629	2012-11-02	ST O68AY	19
630	2012-11-02	PO 27102	19
631	2012-11-02	SG 4101U	23
632	2012-11-05	SI 16886	19
633	2012-11-05	DW S706S	19
634	2012-11-05	DW G40VV	19
635	2012-11-05	SO 16832	19
636	2012-11-05	SRB 23411	19
637	2012-11-05	SK G7127	19
638	2012-11-05	WF 24072	19
639	2012-11-05	WND 3941D	19
640	2012-11-05	WND 27304	19
641	2012-11-05	DW S706S	23
642	2012-11-05	DB N574A	19
643	2012-11-05	DB 3457K	19
644	2012-11-05	ST 16892	19
645	2012-11-05	WND 25284	19
646	2012-11-05	DB 7579M	19
647	2012-11-05	SK M54EB	19
648	2012-11-05	DB N91XS	19
649	2012-11-05	PO E95RH	19
650	2012-11-05	DB 3457K	23
651	2012-11-05	WND Q5644	19
652	2012-11-06	PO 65354	19
653	2012-11-06	DB E957H	19
654	2012-11-06	SC 7545S	19
655	2012-11-06	PZ 16792	19
656	2012-11-06	WD D6848	23
657	2012-11-06	SK 55355	19
658	2012-11-06	SH F6286	19
659	2012-11-06	SZY 3841A	19
660	2012-11-06	SZO S12EM	19
661	2012-11-06	SB 23815	19
662	2012-11-06	WD D6848	19
663	2012-11-06	SG LD355	19
664	2012-11-06	SJZ D6627	19
665	2012-11-06	SMI 56466	19
666	2012-11-06	WD A38DW	19
667	2012-11-06	SH 59799	19
668	2012-11-06	PO 3631H	19
669	2012-11-07	SCZ Q6245	19
670	2012-11-07	WF 16784	19
671	2012-11-07	DB 8757A	19
672	2012-11-07	WN S98QG	19
673	2012-11-07	WND Y32DP	19
674	2012-11-07	WD L668S	19
675	2012-11-07	DB 6535A	19
676	2012-11-07	SM E93DN	19
677	2012-11-07	SK 865ED	19
678	2012-11-07	WD 24678	19
679	2012-11-07	WZ Z78PZ	19
680	2012-11-07	SJ 7557F	19
681	2012-11-07	ST LF354	19
684	2012-11-07	PZ L74SB	19
685	2012-11-07	SH 16830	19
686	2012-11-07	SG 86463	19
687	2012-11-07	SZA 655CS	19
688	2012-11-07	WF 7893E	19
689	2012-11-07	SRC RF346	19
690	2012-11-07	WD 24274	19
691	2012-11-07	SH 28112	19
692	2012-11-07	PO S706A	23
693	2012-11-07	SG 45356	19
694	2012-11-07	DB 6091A	19
695	2012-11-07	ST 24880	19
696	2012-11-07	PO 87574	19
697	2012-11-07	WF W2234	19
698	2012-11-07	WD N91XU	19
699	2012-11-07	WF 5490N	19
700	2012-11-07	SG 3581R	19
701	2012-11-07	SPS 690HD	19
702	2012-11-07	PO S706A	19
703	2012-11-07	PZ 3891T	19
704	2012-11-07	PP TE554	19
705	2012-11-07	SK 7897N	19
706	2012-11-07	WU 74242	19
707	2012-11-08	WND 3344T	19
708	2012-11-08	WF C5685	19
709	2012-11-08	DW 54322	19
710	2012-11-08	SK 8556V	19
711	2012-11-08	ST 16836	19
712	2012-11-08	WI W1236	19
714	2012-11-08	WF P48WY	19
715	2012-11-08	PWA 1234A	19
716	2012-11-08	WF C5685	23
717	2012-11-08	WPR L6904	19
718	2012-11-08	WF 25082	19
719	2012-11-08	SH 7501V	19
720	2012-11-08	POB 80908	19
721	2012-11-08	WD 16900	19
722	2012-11-08	WZY 1245S	19
723	2012-11-08	SK T6068	19
724	2012-11-08	WB 3921Q	19
725	2012-11-08	SWD 34568	19
726	2012-11-08	WF P48WY	23
727	2012-11-08	SPI 28920	19
728	2012-11-08	PZ 16896	19
729	2012-11-08	SH SA138	19
730	2012-11-08	DW 28718	19
731	2012-11-08	WD 16900	23
732	2012-11-08	PZ 16896	23
734	2012-11-08	SK 3871D	19
735	2012-11-08	SG 28314	19
736	2012-11-08	WD P5884	19
737	2012-11-08	PO 34574	19
740	2012-11-08	DB 16902	19
741	2012-11-08	WND 5301J	19
742	2012-11-09	SK 557SX	19
743	2012-11-09	WA 16880	19
744	2012-11-09	PO 76464	19
745	2012-11-12	SD 3257G	19
746	2012-11-12	WD H7245	19
747	2012-11-12	PZ 16788	19
748	2012-11-13	DB 3561K	19
749	2012-11-13	WF 49800	19
750	2012-11-14	SGL F7185	19
751	2012-11-14	WX RG347	19
752	2012-12-07	PP TE554	1
753	2012-12-10	ST 16838	2
754	2012-12-10	WF C5685	3
755	2012-12-11	ST 4356G	5
756	2012-12-11	SG O60RV	4
757	2012-12-12	SG 16904	6
758	2012-12-13	DWR LL545	7
759	2012-12-13	DB N574A	8
760	2012-12-14	SK 16842	9
761	2012-12-14	ST RL351	10
762	2012-12-17	STY M52XG	12
763	2012-12-17	DW S706S	11
764	2012-12-18	SK A44GU	14
765	2012-12-18	WF P48WY	13
766	2012-12-19	PZ 16792	15
767	2012-12-19	DW 28718	16
768	2012-12-20	WND Y32DP	1
769	2012-12-20	PTU CD551	17
770	2012-12-21	SK M54EB	3
771	2012-12-21	WI W1236	2
772	2012-12-28	SW RJ349	5
773	2012-12-28	PZ 6367J	4
