Nr	Typ	Rodzaj	Kolor	Cena	Data
67	skladany	dziecko	niebieski	649	2012-04-03
68	skladany	meskie	bialy	1199	2012-04-04
69	gorski_rekreacyjny	dziecko	czerwony	599	2012-04-04
70	skladany	damskie	czerwony	1299	2012-04-04
71	gorski_rekreacyjny	dziecko	fioletowy	399	2012-04-04
72	szosowy_wyczynowy	damskie	czarny	3599	2012-04-04
73	szosowy_wyczynowy	meskie	bialy	3449	2012-04-04
74	skladany	dziecko	niebieski	649	2012-04-05
75	gorski_sportowy	damskie	niebieski	1499	2012-04-05
76	skladany	meskie	zielony	1399	2012-04-05
77	uniwersalny	damskie	zielony	1299	2012-04-11
78	miejski	meskie	bialy	499	2012-04-11
79	gorski_sportowy	dziecko	srebrny	899	2012-04-11
80	szosowy_wyczynowy	dziecko	czarny	1799	2012-04-11
81	uniwersalny	meskie	niebieski	999	2012-04-11
82	gorski_sportowy	dziecko	niebieski	849	2012-04-11
83	rowerki_i_pojazdy	dziecko	bialy	309	2012-04-12
84	gorski_sportowy	dziecko	czarny	849	2012-04-12
85	szosowy_miejski	damskie	zielony	1188	2012-04-12
86	szosowy_wyczynowy	damskie	czerwony	3599	2012-04-12
87	uniwersalny	dziecko	fioletowy	849	2012-04-12
88	szosowy_miejski	damskie	czerwony	1999	2012-04-12
89	skladany	meskie	srebrny	1399	2012-04-12
90	szosowy_miejski	dziecko	czerwony	999	2012-04-12
91	gorski_sportowy	damskie	czerwony	1499	2012-04-12
92	szosowy_wyczynowy	meskie	srebrny	3449	2012-04-17
93	skladany	meskie	srebrny	1399	2012-04-17
94	miejski	damskie	bialy	486	2012-04-17
95	gorski_rekreacyjny	damskie	czarny	849	2012-04-17
96	skladany	dziecko	srebrny	649	2012-04-17
97	gorski_sportowy	meskie	srebrny	1299	2012-04-17
98	miejski	meskie	bialy	1269	2012-04-24
99	szosowy_miejski	damskie	srebrny	1249	2012-04-24
100	szosowy_miejski	dziecko	srebrny	999	2012-04-24
101	szosowy_miejski	dziecko	srebrny	899	2012-04-24
102	skladany	meskie	czarny	1199	2012-04-25
103	uniwersalny	dziecko	srebrny	729	2012-04-25
104	szosowy_wyczynowy	dziecko	czerwony	1599	2012-04-25
105	miejski	damskie	niebieski	799	2012-04-26
106	gorski_sportowy	meskie	srebrny	1799	2012-04-26
107	rowerki_i_pojazdy	dziecko	srebrny	269	2012-04-26
108	gorski_sportowy	damskie	czarny	1199	2012-04-26
109	szosowy_miejski	meskie	niebieski	1899	2012-04-26
110	uniwersalny	meskie	bialy	999	2012-04-30
111	miejski	meskie	srebrny	1399	2012-04-30
112	gorski_sportowy	damskie	srebrny	1499	2012-04-30
113	szosowy_wyczynowy	dziecko	czerwony	1799	2012-04-30
114	miejski	damskie	czerwony	1049	2012-04-30
115	gorski_rekreacyjny	damskie	czerwony	849	2012-04-30
116	szosowy_miejski	damskie	bialy	1249	2012-04-30
117	szosowy_wyczynowy	dziecko	fioletowy	1799	2012-04-30
118	gorski_rekreacyjny	dziecko	zielony	499	2012-05-08
119	gorski_rekreacyjny	meskie	fioletowy	999	2012-05-08
120	miejski	damskie	brazowy	1049	2012-05-08
121	miejski	damskie	czerwony	486	2012-05-08
122	szosowy_wyczynowy	meskie	bialy	4599	2012-05-08
123	szosowy_wyczynowy	damskie	czerwony	2499	2012-05-08
124	gorski_rekreacyjny	damskie	zielony	849	2012-05-08
125	szosowy_wyczynowy	meskie	srebrny	3449	2012-05-08
126	uniwersalny	dziecko	niebieski	499	2012-05-08
127	gorski_sportowy	meskie	srebrny	1099	2012-05-08
128	play-bike	meskie	brazowy	1499	2012-05-08
129	rowerki_i_pojazdy	dziecko	niebieski	114	2012-05-08
130	gorski_sportowy	dziecko	srebrny	849	2012-05-08
131	skladany	damskie	srebrny	1399	2012-05-08
132	miejski	damskie	niebieski	1499	2012-05-08
133	skladany	meskie	srebrny	1399	2012-05-08
134	miejski	damskie	brazowy	799	2012-05-08
135	uniwersalny	meskie	brazowy	1049	2012-05-08
136	gorski_sportowy	dziecko	czerwony	949	2012-05-08
137	skladany	meskie	srebrny	1399	2012-05-08
138	miejski	damskie	brazowy	2089	2012-05-08
139	gorski_sportowy	meskie	srebrny	1799	2012-05-09
140	uniwersalny	dziecko	czerwony	729	2012-05-09
141	skladany	dziecko	bialy	799	2012-05-09
142	szosowy_miejski	meskie	zielony	2099	2012-05-09
143	uniwersalny	dziecko	czerwony	849	2012-05-09
144	skladany	meskie	czarny	1199	2012-05-09
145	gorski_sportowy	dziecko	niebieski	1099	2012-05-09
146	gorski_sportowy	meskie	srebrny	1299	2012-05-10
147	gorski_rekreacyjny	damskie	brazowy	849	2012-05-10
148	szosowy_miejski	dziecko	czerwony	1299	2012-05-15
149	rowerki_i_pojazdy	dziecko	niebieski	499	2012-05-15
150	gorski_rekreacyjny	damskie	srebrny	849	2012-05-15
151	gorski_rekreacyjny	meskie	czerwony	999	2012-05-15
152	szosowy_miejski	dziecko	czerwony	999	2012-05-15
153	szosowy_wyczynowy	meskie	bialy	3499	2012-05-15
154	uniwersalny	dziecko	brazowy	729	2012-05-15
155	miejski	meskie	brazowy	1899	2012-05-15
156	gorski_sportowy	damskie	czerwony	1199	2012-05-16
157	szosowy_miejski	meskie	czerwony	1399	2012-05-16
158	gorski_sportowy	damskie	srebrny	999	2012-05-22
159	szosowy_miejski	meskie	czerwony	1399	2012-05-22
160	skladany	meskie	srebrny	1399	2012-05-22
161	miejski	meskie	niebieski	1269	2012-05-22
162	rowerki_i_pojazdy	dziecko	niebieski	159	2012-05-22
163	miejski	meskie	czarny	799	2012-05-29
164	gorski_sportowy	meskie	srebrny	2099	2012-05-29
165	szosowy_wyczynowy	meskie	zielony	4599	2012-05-29
166	skladany	damskie	bialy	1399	2012-05-29
167	uniwersalny	meskie	niebieski	999	2012-05-30
168	rowerki_i_pojazdy	dziecko	niebieski	499	2012-05-30
169	gorski_rekreacyjny	damskie	niebieski	699	2012-05-30
170	skladany	dziecko	brazowy	649	2012-05-30
171	gorski_sportowy	damskie	niebieski	999	2012-06-04
172	szosowy_miejski	meskie	czerwony	1899	2012-06-04
173	szosowy_wyczynowy	dziecko	zielony	1599	2012-06-04
174	szosowy_wyczynowy	dziecko	srebrny	1599	2012-06-04
175	uniwersalny	dziecko	srebrny	729	2012-06-04
176	gorski_rekreacyjny	meskie	fioletowy	899	2012-06-05
177	uniwersalny	damskie	zielony	1299	2012-06-05
178	skladany	dziecko	srebrny	799	2012-06-05
179	skladany	dziecko	srebrny	799	2012-06-05
180	gorski_rekreacyjny	damskie	zielony	849	2012-06-05
181	gorski_sportowy	dziecko	niebieski	949	2012-06-08
182	rowerki_i_pojazdy	dziecko	niebieski	122	2012-06-08
183	szosowy_miejski	damskie	czerwony	1188	2012-06-12
184	skladany	damskie	niebieski	1299	2012-06-12
185	rowerki_i_pojazdy	dziecko	niebieski	309	2012-06-12
186	skladany	damskie	srebrny	1299	2012-06-12
187	miejski	meskie	brazowy	799	2012-06-12
188	gorski_sportowy	meskie	srebrny	1299	2012-06-12
189	gorski_sportowy	meskie	srebrny	1799	2012-06-13
190	szosowy_miejski	damskie	niebieski	1999	2012-06-14
191	skladany	dziecko	czarny	799	2012-06-14
192	uniwersalny	damskie	czerwony	1299	2012-06-14
193	uniwersalny	dziecko	czerwony	849	2012-06-14
194	rowerki_i_pojazdy	dziecko	srebrny	254	2012-06-14
195	gorski_sportowy	meskie	srebrny	1099	2012-06-14
196	gorski_sportowy	meskie	srebrny	1799	2012-06-19
197	szosowy_miejski	damskie	zielony	1188	2012-06-19
198	skladany	meskie	czarny	1399	2012-06-19
199	gorski_sportowy	meskie	srebrny	2099	2012-06-19
200	gorski_sportowy	meskie	czarny	2099	2012-06-19
201	skladany	meskie	bialy	1199	2012-06-20
202	rowerki_i_pojazdy	dziecko	srebrny	99	2012-06-20
203	gorski_sportowy	dziecko	niebieski	1099	2012-06-20
204	gorski_sportowy	meskie	srebrny	1299	2012-06-20
205	szosowy_wyczynowy	meskie	czerwony	4599	2012-06-27
206	uniwersalny	damskie	zielony	1299	2012-06-27
207	gorski_rekreacyjny	meskie	fioletowy	749	2012-06-27
208	szosowy_miejski	damskie	zielony	1249	2012-06-27
209	gorski_sportowy	meskie	zielony	1799	2012-06-27
210	gorski_sportowy	damskie	srebrny	999	2012-06-27
211	uniwersalny	meskie	srebrny	999	2012-06-27
212	miejski	damskie	niebieski	1499	2012-06-27
213	uniwersalny	damskie	srebrny	1299	2012-06-27
214	szosowy_wyczynowy	meskie	czarny	3499	2012-06-27
215	gorski_sportowy	dziecko	czerwony	949	2012-06-28
216	gorski_rekreacyjny	meskie	srebrny	999	2012-06-28
217	uniwersalny	damskie	niebieski	1149	2012-06-28
218	rowerki_i_pojazdy	dziecko	niebieski	220	2012-06-28
219	szosowy_miejski	damskie	niebieski	1188	2012-06-28
220	uniwersalny	dziecko	zielony	729	2012-06-28
221	skladany	meskie	niebieski	1199	2012-06-28
222	szosowy_miejski	dziecko	bialy	1299	2012-06-28
223	uniwersalny	meskie	niebieski	1049	2012-06-28
224	szosowy_miejski	damskie	zielony	1249	2012-07-04
225	szosowy_miejski	meskie	srebrny	1399	2012-07-04
226	szosowy_wyczynowy	meskie	czerwony	3499	2012-07-04
227	uniwersalny	dziecko	brazowy	549	2012-07-04
228	skladany	damskie	czerwony	1299	2012-07-04
229	skladany	meskie	srebrny	1399	2012-07-04
230	gorski_sportowy	damskie	brazowy	1199	2012-07-04
231	skladany	dziecko	zielony	649	2012-07-04
232	skladany	damskie	czarny	1299	2012-07-04
233	gorski_rekreacyjny	damskie	brazowy	799	2012-07-05
234	skladany	meskie	srebrny	1199	2012-07-05
235	miejski	damskie	brazowy	799	2012-07-05
236	rowerki_i_pojazdy	dziecko	srebrny	122	2012-07-05
237	szosowy_wyczynowy	meskie	czarny	4599	2012-07-05
238	gorski_rekreacyjny	damskie	srebrny	849	2012-07-11
239	szosowy_wyczynowy	damskie	srebrny	3599	2012-07-11
240	skladany	meskie	fioletowy	1399	2012-07-11
241	miejski	damskie	niebieski	1049	2012-07-11
242	miejski	damskie	czerwony	486	2012-07-11
243	gorski_rekreacyjny	meskie	czarny	899	2012-07-11
244	szosowy_miejski	damskie	zielony	1188	2012-07-11
245	szosowy_wyczynowy	meskie	niebieski	3449	2012-07-18
246	uniwersalny	meskie	srebrny	1049	2012-07-18
247	gorski_sportowy	dziecko	srebrny	899	2012-07-18
248	gorski_sportowy	dziecko	zielony	849	2012-07-18
249	gorski_rekreacyjny	meskie	niebieski	749	2012-07-18
250	gorski_rekreacyjny	damskie	zielony	849	2012-07-18
251	gorski_rekreacyjny	damskie	niebieski	849	2012-07-18
252	gorski_rekreacyjny	meskie	czarny	899	2012-07-18
253	skladany	meskie	srebrny	1399	2012-07-18
254	gorski_sportowy	damskie	czarny	1499	2012-07-24
255	skladany	meskie	bialy	1399	2012-07-24
256	szosowy_wyczynowy	damskie	bialy	2499	2012-07-24
257	gorski_rekreacyjny	dziecko	fioletowy	599	2012-07-24
258	szosowy_miejski	damskie	srebrny	1999	2012-07-24
259	miejski	damskie	bialy	486	2012-07-30
260	gorski_rekreacyjny	damskie	czerwony	699	2012-07-30
261	uniwersalny	dziecko	czerwony	499	2012-07-30
262	szosowy_wyczynowy	dziecko	rozowy	1599	2012-07-30
263	gorski_rekreacyjny	damskie	bialy	849	2012-07-30
264	gorski_rekreacyjny	damskie	bialy	1299	2012-07-30
265	gorski_sportowy	meskie	zielony	1099	2012-07-30
266	miejski	damskie	czarny	799	2012-08-02
267	szosowy_wyczynowy	damskie	brazowy	2499	2012-08-02
268	szosowy_wyczynowy	dziecko	srebrny	1799	2012-08-02
269	uniwersalny	damskie	czerwony	1149	2012-08-02
270	miejski	damskie	bialy	2089	2012-08-03
271	gorski_sportowy	dziecko	brazowy	849	2012-08-03
272	gorski_rekreacyjny	meskie	czerwony	999	2012-08-03
273	szosowy_miejski	damskie	czerwony	1188	2012-08-08
274	szosowy_wyczynowy	dziecko	srebrny	1799	2012-08-08
275	szosowy_wyczynowy	meskie	brazowy	3449	2012-08-08
276	miejski	damskie	niebieski	1499	2012-08-09
277	gorski_rekreacyjny	dziecko	srebrny	599	2012-08-09
278	szosowy_wyczynowy	dziecko	czerwony	1799	2012-08-09
279	skladany	damskie	brazowy	1299	2012-08-09
280	uniwersalny	damskie	niebieski	1299	2012-08-09
281	uniwersalny	meskie	niebieski	1049	2012-08-09
282	gorski_sportowy	meskie	srebrny	1799	2012-08-09
283	szosowy_miejski	damskie	bialy	1999	2012-08-14
284	gorski_rekreacyjny	dziecko	czerwony	599	2012-08-14
285	gorski_sportowy	damskie	czerwony	1199	2012-08-16
286	gorski_rekreacyjny	meskie	czerwony	999	2012-08-16
287	szosowy_miejski	meskie	czarny	1899	2012-08-17
288	miejski	damskie	bialy	1499	2012-08-17
289	skladany	meskie	bialy	1399	2012-08-17
290	uniwersalny	damskie	srebrny	1149	2012-08-17
291	uniwersalny	damskie	niebieski	1149	2012-08-17
292	szosowy_wyczynowy	meskie	czarny	4599	2012-08-21
293	uniwersalny	dziecko	zielony	549	2012-08-21
294	skladany	dziecko	srebrny	649	2012-08-21
295	miejski	meskie	bialy	499	2012-08-21
296	szosowy_wyczynowy	dziecko	srebrny	1599	2012-08-23
297	gorski_rekreacyjny	dziecko	brazowy	599	2012-08-23
298	szosowy_wyczynowy	damskie	czarny	2499	2012-08-23
299	miejski	meskie	niebieski	1269	2012-08-23
300	szosowy_wyczynowy	dziecko	zielony	1599	2012-08-24
301	uniwersalny	damskie	srebrny	1299	2012-08-24
302	rowerki_i_pojazdy	dziecko	niebieski	114	2012-08-30
303	gorski_sportowy	dziecko	czarny	849	2012-08-30
304	gorski_sportowy	dziecko	brazowy	949	2012-08-30
305	skladany	dziecko	srebrny	799	2012-08-30
306	skladany	meskie	bialy	1199	2012-08-31
307	gorski_rekreacyjny	damskie	czarny	849	2012-08-31
308	uniwersalny	damskie	brazowy	1299	2012-08-31
309	gorski_rekreacyjny	meskie	czarny	899	2012-08-31
310	skladany	meskie	srebrny	1399	2012-08-31
311	miejski	meskie	bialy	1269	2012-08-31
312	gorski_rekreacyjny	dziecko	zielony	499	2012-09-04
313	gorski_sportowy	dziecko	bialy	1099	2012-09-04
314	skladany	dziecko	brazowy	799	2012-09-05
315	szosowy_wyczynowy	meskie	czarny	3449	2012-09-05
316	uniwersalny	dziecko	fioletowy	499	2012-09-05
317	skladany	meskie	srebrny	1399	2012-09-05
318	gorski_rekreacyjny	dziecko	srebrny	499	2012-09-05
319	szosowy_wyczynowy	dziecko	niebieski	1599	2012-09-07
320	gorski_sportowy	meskie	srebrny	1299	2012-09-07
321	gorski_rekreacyjny	damskie	czarny	849	2012-09-10
322	gorski_rekreacyjny	dziecko	brazowy	499	2012-09-10
323	szosowy_wyczynowy	dziecko	srebrny	1799	2012-09-10
324	miejski	meskie	brazowy	1899	2012-09-12
325	gorski_sportowy	dziecko	zielony	949	2012-09-12
326	szosowy_wyczynowy	damskie	brazowy	2499	2012-09-14
327	gorski_rekreacyjny	meskie	fioletowy	749	2012-09-14
328	szosowy_wyczynowy	dziecko	czerwony	1599	2012-09-18
329	miejski	damskie	srebrny	2089	2012-09-18
330	gorski_sportowy	damskie	srebrny	999	2012-09-19
331	rowerki_i_pojazdy	dziecko	niebieski	309	2012-09-19
332	szosowy_miejski	dziecko	czerwony	899	2012-09-25
333	skladany	dziecko	czerwony	799	2012-09-25
334	gorski_rekreacyjny	dziecko	bialy	499	2012-09-25
335	uniwersalny	meskie	srebrny	1049	2012-09-25
336	skladany	damskie	srebrny	1399	2012-09-27
337	szosowy_miejski	dziecko	srebrny	999	2012-09-27
338	rowerki_i_pojazdy	dziecko	srebrny	159	2012-09-27
339	miejski	meskie	niebieski	499	2012-09-27
340	gorski_sportowy	damskie	srebrny	1199	2012-09-27
341	miejski	damskie	niebieski	486	2012-09-27
342	gorski_rekreacyjny	dziecko	czerwony	499	2012-09-27
343	gorski_rekreacyjny	damskie	niebieski	1599	2012-10-02
344	gorski_sportowy	damskie	srebrny	1499	2012-10-02
345	szosowy_miejski	dziecko	srebrny	899	2012-10-02
346	uniwersalny	dziecko	czerwony	729	2012-10-09
347	gorski_rekreacyjny	damskie	czerwony	849	2012-10-09
348	uniwersalny	damskie	czarny	1299	2012-10-09
349	gorski_sportowy	dziecko	czerwony	949	2012-10-10
350	gorski_sportowy	meskie	srebrny	2099	2012-10-10
351	gorski_rekreacyjny	meskie	fioletowy	899	2012-10-10
352	gorski_rekreacyjny	meskie	czarny	999	2012-10-10
353	skladany	damskie	czerwony	1399	2012-10-15
354	gorski_rekreacyjny	damskie	czarny	849	2012-10-15
355	uniwersalny	meskie	czarny	1049	2012-10-15
356	szosowy_miejski	meskie	czarny	2099	2012-10-17
357	szosowy_wyczynowy	damskie	bialy	3599	2012-10-17
358	gorski_sportowy	dziecko	niebieski	1099	2012-10-22
359	skladany	meskie	srebrny	1399	2012-10-22
360	gorski_rekreacyjny	damskie	bialy	799	2012-10-24
361	szosowy_miejski	dziecko	srebrny	1299	2012-10-24
362	gorski_rekreacyjny	damskie	srebrny	1599	2012-10-24
363	szosowy_wyczynowy	dziecko	srebrny	1799	2012-10-25
364	szosowy_wyczynowy	meskie	czarny	3499	2012-10-25
365	uniwersalny	dziecko	brazowy	849	2012-10-29
366	miejski	meskie	brazowy	799	2012-10-29
367	gorski_rekreacyjny	damskie	bialy	799	2012-10-29
368	gorski_sportowy	dziecko	srebrny	949	2012-10-29
369	uniwersalny	dziecko	srebrny	729	2012-10-29
370	uniwersalny	meskie	bialy	999	2012-10-29
371	skladany	meskie	srebrny	1199	2012-10-29
372	miejski	meskie	niebieski	1399	2012-10-30
373	uniwersalny	dziecko	zielony	729	2012-10-30
374	szosowy_wyczynowy	damskie	czarny	2499	2012-10-30
375	miejski	damskie	bialy	799	2012-11-06
376	miejski	damskie	niebieski	1049	2012-11-06
377	gorski_sportowy	meskie	srebrny	1299	2012-11-07
378	skladany	meskie	bialy	1399	2012-11-13
379	szosowy_miejski	meskie	srebrny	2099	2012-11-13
380	szosowy_wyczynowy	dziecko	czerwony	1799	2012-11-14
381	szosowy_wyczynowy	meskie	niebieski	4599	2012-11-14
382	rowerki_i_pojazdy	dziecko	srebrny	122	2012-11-14
383	miejski	meskie	niebieski	1399	2012-11-27
384	uniwersalny	damskie	bialy	1299	2012-11-27
385	szosowy_miejski	damskie	czerwony	1249	2012-12-05
386	rowerki_i_pojazdy	dziecko	niebieski	309	2012-12-05
387	uniwersalny	meskie	srebrny	999	2012-12-11
388	szosowy_wyczynowy	dziecko	czerwony	1799	2012-12-19
389	gorski_rekreacyjny	dziecko	zielony	499	2012-12-28
390	gorski_rekreacyjny	dziecko	srebrny	499	2012-01-02
391	skladany	dziecko	czarny	649	2012-01-03
392	szosowy_wyczynowy	dziecko	srebrny	1799	2012-01-04
393	szosowy_wyczynowy	dziecko	czerwony	1599	2012-01-05
394	skladany	dziecko	czerwony	649	2012-01-05
395	szosowy_miejski	meskie	bialy	1399	2012-01-05
396	uniwersalny	dziecko	niebieski	849	2012-01-07
397	rowerki_i_pojazdy	dziecko	srebrny	269	2012-01-09
398	skladany	dziecko	srebrny	649	2012-01-11
399	rowerki_i_pojazdy	dziecko	bialy	114	2012-01-11
400	uniwersalny	meskie	niebieski	1049	2012-01-13
401	miejski	meskie	niebieski	499	2012-01-13
402	miejski	meskie	bialy	1269	2012-01-14
403	szosowy_wyczynowy	damskie	czarny	2499	2012-01-16
404	skladany	dziecko	czerwony	799	2012-01-17
405	szosowy_wyczynowy	dziecko	zielony	1599	2012-01-18
406	skladany	damskie	bialy	1299	2012-01-18
407	gorski_sportowy	dziecko	srebrny	1099	2012-01-19
408	skladany	dziecko	bialy	649	2012-01-20
409	skladany	damskie	czarny	1399	2012-01-23
410	uniwersalny	damskie	niebieski	1299	2012-01-23
411	rowerki_i_pojazdy	dziecko	srebrny	499	2012-01-23
412	szosowy_miejski	dziecko	srebrny	999	2012-01-24
413	szosowy_miejski	meskie	niebieski	1899	2012-01-24
414	skladany	dziecko	zielony	799	2012-01-25
415	uniwersalny	dziecko	srebrny	549	2012-01-26
416	uniwersalny	meskie	bialy	999	2012-01-26
417	miejski	meskie	bialy	1399	2012-01-27
418	gorski_rekreacyjny	damskie	niebieski	799	2012-01-27
419	szosowy_miejski	damskie	brazowy	1249	2012-01-27
420	szosowy_miejski	meskie	zielony	1399	2012-01-28
421	skladany	dziecko	niebieski	799	2012-01-28
422	rowerki_i_pojazdy	dziecko	czerwony	159	2012-01-30
423	skladany	damskie	niebieski	1399	2012-01-30
424	skladany	meskie	srebrny	1399	2012-01-31
425	play-bike	dziecko	niebieski	699	2012-02-01
426	gorski_sportowy	damskie	czarny	1999	2012-02-01
427	szosowy_wyczynowy	dziecko	czerwony	1599	2012-02-01
428	szosowy_miejski	dziecko	zielony	1299	2012-02-01
429	szosowy_wyczynowy	damskie	brazowy	2499	2012-02-01
430	skladany	meskie	czarny	1199	2012-02-02
431	szosowy_wyczynowy	dziecko	srebrny	1799	2012-02-02
432	skladany	damskie	czerwony	1299	2012-02-02
433	rowerki_i_pojazdy	dziecko	czerwony	499	2012-02-02
434	rowerki_i_pojazdy	dziecko	niebieski	122	2012-02-02
435	gorski_sportowy	dziecko	niebieski	949	2012-02-04
436	uniwersalny	dziecko	srebrny	849	2012-02-04
437	skladany	damskie	czerwony	1299	2012-02-06
438	skladany	dziecko	niebieski	799	2012-02-06
439	gorski_rekreacyjny	dziecko	srebrny	499	2012-02-06
440	gorski_sportowy	dziecko	srebrny	899	2012-02-06
441	miejski	damskie	brazowy	1049	2012-02-06
442	rowerki_i_pojazdy	dziecko	niebieski	309	2012-02-06
443	skladany	dziecko	niebieski	649	2012-02-07
444	szosowy_miejski	meskie	czerwony	2099	2012-02-07
445	miejski	meskie	brazowy	1899	2012-02-07
446	gorski_rekreacyjny	meskie	czarny	999	2012-02-07
447	szosowy_wyczynowy	dziecko	niebieski	1599	2012-02-07
448	rowerki_i_pojazdy	dziecko	niebieski	254	2012-02-08
449	rowerki_i_pojazdy	dziecko	bialy	99	2012-02-08
450	miejski	damskie	niebieski	486	2012-02-08
451	szosowy_miejski	damskie	niebieski	1249	2012-02-09
452	rowerki_i_pojazdy	dziecko	niebieski	220	2012-02-09
453	miejski	meskie	niebieski	1269	2012-02-09
454	szosowy_miejski	damskie	niebieski	1188	2012-02-09
455	szosowy_miejski	meskie	srebrny	1899	2012-02-10
456	szosowy_wyczynowy	meskie	niebieski	4599	2012-02-10
457	gorski_rekreacyjny	dziecko	niebieski	499	2012-02-10
458	gorski_sportowy	damskie	niebieski	999	2012-02-11
459	uniwersalny	meskie	srebrny	999	2012-02-11
460	gorski_rekreacyjny	meskie	rozowy	899	2012-02-13
461	szosowy_wyczynowy	meskie	srebrny	3499	2012-02-13
462	szosowy_miejski	meskie	czarny	2099	2012-02-14
463	uniwersalny	meskie	srebrny	1049	2012-02-14
464	uniwersalny	meskie	srebrny	1049	2012-02-14
465	miejski	damskie	niebieski	1499	2012-02-14
466	gorski_sportowy	damskie	czerwony	999	2012-02-14
467	szosowy_miejski	damskie	brazowy	1999	2012-02-15
468	szosowy_miejski	meskie	srebrny	1399	2012-02-15
469	gorski_rekreacyjny	damskie	czerwony	799	2012-02-15
470	miejski	meskie	bialy	799	2012-02-16
471	szosowy_miejski	meskie	zielony	1899	2012-02-16
472	szosowy_miejski	meskie	srebrny	1899	2012-02-16
473	uniwersalny	damskie	czerwony	1149	2012-02-17
474	skladany	dziecko	czerwony	649	2012-02-17
475	miejski	damskie	brazowy	799	2012-02-17
476	rowerki_i_pojazdy	dziecko	niebieski	122	2012-02-18
477	miejski	damskie	niebieski	2089	2012-02-18
478	szosowy_miejski	meskie	srebrny	2099	2012-02-20
479	play-bike	meskie	srebrny	1799	2012-02-20
480	miejski	meskie	srebrny	799	2012-02-20
